0(0.01044, -0.007285, 0.004593)
0(0.011103, -0.003842, 0.003094)
0(0.005661, 0.003208, -0.002565)
0(0.008709, -0.003032, 0.001181)
0(0.000871, -0.002219, 0.001795)
0(-0.012607, 0.000736, -0.019938)
0(-0.027606, 0.003187, -0.022112)
0(-0.025992, 0.005348, -0.004606)
0(0.003388, -0.020302, 0.013431)
0(0.012554, 0.000125, 0.03176)
0(0.011794, 0.012466, 0.009403)
0(0.007167, -0.006657, -0.005766)
0(-0.023233, -0.0033, -0.05662)
0(-0.006155, -0.018532, -0.043264)
0(0.005851, -0.00808, 0.01675)
0(-0.007798, -0.012065, 0.026823)
0(-0.025209, 0.00047, -0.045937)
0(-0.00755, 0.011304, 0.00331)
0(-0.004827, -0.039106, 0.044639)
0(-0.004075, -0.080551, 0.083739)
0(-0.013101, -0.021946, 0.063938)
0(-0.038912, 0.017205, 0.118001)
0(-0.010837, 0.009385, 0.056587)
0(-0.000605, -0.052231, 0.021945)
0(0.004011, -0.051447, 0.075243)
0(0.019561, -0.044663, 0.039139)
0(0.076921, -0.043266, -0.058836)
0(-0.022246, 0.022019, -0.100247)
0(-0.007973, 0.054892, -0.16163)
0(-0.023071, 0.028721, -0.153637)
0(-0.054997, -0.022755, -0.068772)
0(-0.015799, -0.027902, -0.003764)
0(0.007521, -0.020992, 0.043213)
0(-0.036611, 0.023767, 0.120959)
0(-0.110958, 0.159729, 0.021676)
0(0.121109, -0.038155, -0.083574)
0(0.175691, -0.092671, -0.136012)
0(0.03649, 0.013007, 0.032622)
0(-0.055508, 0.061176, 0.13403)
0(-0.028304, 0.09641, 0.068249)
0(0.052734, 0.01515, -0.018562)
0(0.062994, 0.008461, 0.077419)
0(0.095634, 0.032939, -0.07776)
0(0.046447, -0.048918, 0.060243)
0(0.068352, 0.019777, 0.09464)
0(0.043958, -0.002333, -0.038197)
0(-0.084939, 0.028507, -0.163088)
0(-0.128006, 0.181519, -0.045049)
0(-0.084172, 0.038031, 0.070938)
0(-0.082184, -0.023979, 0.186481)
0(-0.048455, -0.043832, 0.257192)
0(-0.202674, 0.044714, -0.01332)
0(-0.149838, 0.008543, -0.0842)
0(-0.122999, 0.037259, -0.090569)
0(0.063383, 0.016659, -0.07468)
0(-0.001326, -0.046713, 0.052407)
0(0.035553, -0.048979, -0.015835)
0(0.019123, 0.023363, -0.077027)
0(0.168845, -0.015866, 0.061992)
0(0.275307, -0.060743, -0.00362)
0(0.087167, 0.010691, 0.222375)
0(-0.238449, 0.070525, 0.149174)
0(-0.171139, 0.027889, -0.023882)
0(-0.28823, 0.008297, -0.10729)
0(0.152959, -0.032461, 0.035016)
0(0.191091, -0.230294, 0.290904)
0(-0.008194, 0.026068, 0.120101)
0(-0.02932, -0.141094, -0.124506)
0(-0.351168, 0.243355, -0.124058)
0(-0.151276, -0.217322, 0.174166)
0(0.360651, -0.559415, 0.048312)
0(-0.349294, -0.152221, -0.087377)
0(-0.304848, -0.115094, -0.311947)
0(0.015261, -0.217721, -0.37009)
0(0.243663, 0.032116, 0.26668)
0(0.240876, -0.091392, -0.828115)
0(0.112703, -0.072368, -0.643724)
0(-0.297208, 0.085211, -0.088802)
